eps 307 : 47676.7886878 with explore rate: 0.0137127953983 , time: 137
eps 308 : 48328.9710164 with explore rate: 0.0135756674443 , time: 136
eps 309 : 48669.1486691 with explore rate: 0.0134399107698 , time: 137
eps 310 : 47739.6049157 with explore rate: 0.0133055116621 , time: 136
eps 311 : 47451.5083104 with explore rate: 0.0131724565455 , time: 136
eps 312 : 48448.8091632 with explore rate: 0.0130407319801 , time: 137
eps 313 : 48257.6605952 with explore rate: 0.0129103246603 , time: 137
eps 314 : 47677.6456261 with explore rate: 0.0127812214137 , time: 136
eps 315 : 47956.8701333 with explore rate: 0.0126534091995 , time: 137
eps 316 : 48024.5024936 with explore rate: 0.0125268751075 , time: 136
eps 317 : 47456.8500142 with explore rate: 0.0124016063565 , time: 137
eps 318 : 48102.5396817 with explore rate: 0.0122775902929 , time: 137
eps 319 : 48041.7245547 with explore rate: 0.01215481439 , time: 137
eps 320 : 48536.4637301 with explore rate: 0.0120332662461 , time: 137
eps 321 : 47426.2648433 with explore rate: 0.0119129335836 , time: 137
eps 322 : 49027.6966028 with explore rate: 0.0117938042478 , time: 137
eps 323 : 48503.4030495 with explore rate: 0.0116758662053 , time: 137
eps 324 : 48451.0004608 with explore rate: 0.0115591075432 , time: 137
eps 325 : 48262.0531107 with explore rate: 0.0114435164678 , time: 137
eps 326 : 48352.4334734 with explore rate: 0.0113290813031 , time: 137
eps 327 : 47872.0735203 with explore rate: 0.0112157904901 , time: 137
eps 328 : 47905.6666871 with explore rate: 0.0111036325852 , time: 137
eps 329 : 48423.3284223 with explore rate: 0.0109925962593 , time: 137
eps 330 : 48388.8992849 with explore rate: 0.0108826702967 , time: 137
eps 331 : 48402.7093375 with explore rate: 0.0107738435938 , time: 137
eps 332 : 47927.8933142 with explore rate: 0.0106661051578 , time: 137
eps 333 : 48191.5213033 with explore rate: 0.0105594441063 , time: 137
eps 334 : 47677.1913563 with explore rate: 0.0104538496652 , time: 137
eps 335 : 48610.6105861 with explore rate: 0.0103493111685 , time: 138
eps 336 : 47119.2714498 with explore rate: 0.0102458180569 , time: 138
eps 337 : 47602.687882 with explore rate: 0.0101433598763 , time: 139
eps 338 : 47843.5299325 with explore rate: 0.0100419262775 , time: 137
eps 339 : 47917.9516467 with explore rate: 0.00994150701476 , time: 139
eps 340 : 47945.0159109 with explore rate: 0.01 , time: 138
eps 341 : 48286.0937191 with explore rate: 0.01 , time: 138
eps 342 : 47847.3076407 with explore rate: 0.01 , time: 138
eps 343 : 48244.3010298 with explore rate: 0.01 , time: 138
eps 344 : 47827.3464791 with explore rate: 0.01 , time: 138
eps 345 : 47694.3581749 with explore rate: 0.01 , time: 138
eps 346 : 47954.1908064 with explore rate: 0.01 , time: 138
eps 347 : 48063.7868475 with explore rate: 0.01 , time: 138
eps 348 : 48433.293451 with explore rate: 0.01 , time: 138
eps 349 : 48243.6174538 with explore rate: 0.01 , time: 138
('total time', 49490)
