eps 187 : 47986.784054 with explore rate: 0.0177703653907 loss: 14342464.0 , time: 130
eps 188 : 47494.0084019 with explore rate: 0.0175038099098 loss: 3272379.8 , time: 131
eps 189 : 48467.9929989 with explore rate: 0.0172412527612 loss: 825734.25 , time: 131
eps 190 : 48362.1520313 with explore rate: 0.0169826339698 loss: 471751.1 , time: 131
eps 191 : 47626.1757767 with explore rate: 0.0167278944602 loss: 19326024.0 , time: 131
eps 192 : 48650.6519459 with explore rate: 0.0164769760433 loss: 13484842.0 , time: 131
eps 193 : 48184.1419848 with explore rate: 0.0162298214027 loss: 9597996.0 , time: 131
eps 194 : 46941.0213973 with explore rate: 0.0159863740816 loss: 8851012.0 , time: 131
eps 195 : 47183.5915663 with explore rate: 0.0157465784704 loss: 7971866.0 , time: 133
eps 196 : 47685.0194791 with explore rate: 0.0155103797933 loss: 11611792.0 , time: 137
eps 197 : 47314.5194959 with explore rate: 0.0152777240964 loss: 7461091.0 , time: 133
